Keys, Description
data_source, Station data source.
campaign_name, Station campaign name.
station_name, Name of the stations (and the metadata file).
sensor_name, Sensor name. It defines the processing chain in DISDRODB.
reader, Indicates which disdrodb reader function ingests the raw data.
raw_data_format, File format of the raw data. Either 'txt' or 'netcdf'.
raw_data_glob_pattern, Glob pattern to search for raw files.
measurement_interval, Sensor measurement sampling interval(s) in seconds.
deployment_status, "Deployment status. Either 'ongoing' or 'terminated'."
deployment_mode, "Deployment mode. Possible values: 'land', 'ship', 'truck', 'cable'."
platform_type, Type of station. Either 'fixed' or 'mobile'.
latitude, "WGS84 latitude in degree north [-90,90]. If platform_type is 'mobile', specify -9999."
longitude, "WGS84 longitude in degree east [-180,180]. If the disdrometer is moving, specify -9999."
altitude, "Elevation above the sea level in meters. If the disdrometer is moving, specify -9999."
